model,MAE,RMSE,sMAPE,MAPE
Ensemble (XGB+LSTM),2.653526544570923,3.7188555277749633,31.124422073364258,36.50383758544922
TFT,2.828148603439331,3.580397238403251,33.172882242107434,42.902149012902164
LSTM,2.8616840839385986,3.496228911275207,33.513943404027316,44.53368381119731
NHITS,2.882534980773926,3.605011519414986,33.712905009148734,44.396433986154115
XGBoost,3.0521914958953857,4.353228429919745,37.17483139038086,36.720680236816406
LightGBM,3.5699553887554756,4.362003399062697,44.057358622833554,47.30685322351552
RandomForest,3.740861738679289,4.820142794571634,48.43668661000507,41.55910580811944
NBEATS,3.899120330810547,4.494060835612871,42.66673654031359,64.7133656799317
LinearRegression,12.444540977478027,13.234826955092764,196.04554748535156,150.7554931640625
